ID_CUAD;PRESENCE;BREEDING;FOREST;BROADLEAVED;ECOTONES;HUMANPOP;URBAN;RUG
16517;1;0;55.16;0.07;1.64;103.34;0.06;149.85
16484;1;0;43.7;0.06;3.31;156.89;0.04;201.15
16895;1;1;29.42;0;9.25;87.75;0.04;137.28
15638;1;0;32.79;0.13;0.76;390.41;0.06;162.65
16769;1;1;55.04;0;0.1;101.58;0.07;261.63
16775;1;0;65.97;0;0;70.65;0.05;233.85
17348;1;1;72.82;0.17;9.4;16.06;0.02;223.34
16632;1;0;55.9;0.89;0;204.82;0.06;233.64
16797;1;1;61.56;0.95;4.57;50.13;0.05;153.88
16242;1;0;66.55;0.21;10.38;32.46;0.03;136.48
16933;1;1;63.48;0.41;4.97;43.13;0.05;177.71
17454;1;1;46.49;0;5.76;86.65;0.01;447.34
16486;1;1;54.4;0.18;5.37;108.44;0.04;255.52
16636;1;0;62.54;0;0.5;85.62;0.05;227.55
17209;1;1;70.79;0.41;7.44;21.72;0.02;206.19
17043;1;1;47.26;0;4.84;67.17;0.07;245.74
16335;1;0;51.66;0;3.68;109.13;0.04;281.99
16608;1;0;52.71;0;5.04;104.93;0.03;275.23
17629;1;1;82.52;0.91;3.52;10.62;0.02;297.54
17052;1;0;58.69;0.2;3.03;72.55;0.06;235.72
16783;1;1;62.75;0.54;8.21;32.27;0.09;191.19
17070;1;1;69.29;0.26;2.16;24.06;0.02;186.28
16781;1;0;64.99;0.48;7.17;35.37;0.07;198.4
17076;1;1;70.58;0.86;9.9;30.41;0.04;189.82
17633;1;1;83.67;0.81;9.44;6;0.01;283.2
16201;1;0;46.65;0.09;1.99;116.37;0.04;218.11
17078;1;1;69.16;0.11;7.28;25.34;0.02;173.34
17317;1;1;39.58;0;3.71;104.93;0.03;402.63
16778;1;0;59.06;0.31;6.43;46.1;0.06;209.72
16472;1;1;40.85;0.02;5.08;119.58;0.05;273.25
16660;1;1;65.37;0.45;3.29;40.84;0.04;146.9
17349;1;1;77.03;0.66;4.23;14.58;0.02;239.06
16507;1;0;51.42;0.19;0.71;77.03;0.08;152.48
17352;1;1;82.95;0.21;2.09;13;0.02;264.02
16931;1;1;62.06;0.23;4.06;32.27;0.03;164.82
17215;1;1;75.53;0.57;3.44;16.2;0.02;219.02
17493;1;1;85.42;0.51;2.55;7.79;0.02;276.97
16794;1;0;55.75;0.18;0.27;59.89;0.06;155.7
17354;1;1;81.53;0.58;5.94;10.03;0.02;246.49
